"tv","glkey","tnameH","seasonGrade","gameDate","bookmarkFlag","scoreA","challengeSq","tnameA","tnameFH","scoreH","gameStart","gameTime","logoA","weekDay","logoH","tcodeA","isEnded","artcSq","gameNo","tcodeH","tvCode","gameEnd","seasonCode","stadiumnameEn","seasonCategoryName","gmkey","stadiumname","tnameFA","isStarted","replayUrl","seasonName1","stadiumnameF","gameCode","seasonCategory","playingQuarter","game_id"
"IB SPORTS / tvN SPORTS","S47G03","서울 SK",1,"20260412",0,105,NA,"고양 소노","서울 SK 나이츠",76,"1400","152","sono","일","sk","66",1,10050485,1,"55","T21,T36","1552",47,"Jamsil Student Gymnasium","플레이오프","S47G03N1","잠실학생","고양 소노 스카이거너스",1,NA,"2025-2026","잠실학생체육관","03","PO","X","S47G03N1"
"IB SPORTS / tvN SPORTS","S47G03","원주 DB",1,"20260413",0,81,NA,"부산 KCC","원주 DB 프로미",78,"1900","208","kcc","월","db","60",1,10050504,2,"16","T21,T36","2108",47,"Wonju Gymnasium","플레이오프","S47G03N2","원주DB프로미아레나","부산 KCC 이지스",1,NA,"2025-2026","원주DB프로미아레나","03","PO","X","S47G03N2"
"IB SPORTS / tvN SPORTS","S47G03","서울 SK",1,"20260414",0,80,NA,"고양 소노","서울 SK 나이츠",72,"1900","200","sono","화","sk","66",1,10050523,3,"55","T21,T36","2100",47,"Jamsil Student Gymnasium","플레이오프","S47G03N3","잠실학생","고양 소노 스카이거너스",1,NA,"2025-2026","잠실학생체육관","03","PO","X","S47G03N3"
"IB SPORTS / tvN SPORTS","S47G03","원주 DB",1,"20260415",0,105,NA,"부산 KCC","원주 DB 프로미",97,"1900","212","kcc","수","db","60",1,10050537,4,"16","T21,T36","2112",47,"Wonju Gymnasium","플레이오프","S47G03N4","원주DB프로미아레나","부산 KCC 이지스",1,NA,"2025-2026","원주DB프로미아레나","03","PO","X","S47G03N4"
"IB SPORTS / tvN SPORTS","S47G03","고양 소노",1,"20260416",0,65,NA,"서울 SK","고양 소노 스카이거너스",66,"1900","156","sk","목","sono","55",1,NA,5,"66","T21,T36","2056",47,"GOYANG SONO ARENA","플레이오프","S47G03N5","고양소노아레나","서울 SK 나이츠",1,NA,"2025-2026","고양소노아레나","03","PO","X","S47G03N5"
"IB SPORTS / tvN SPORTS","S47G03","부산 KCC",1,"20260417",0,89,NA,"원주 DB","부산 KCC 이지스",98,"1900","153","db","금","kcc","16",1,10050567,6,"60","T21,T36","2053",47,"Busan Sajik Gymnasium","플레이오프","S47G03N6","부산사직","원주 DB 프로미",1,NA,"2025-2026","부산사직체육관","03","PO","X","S47G03N6"
"IB SPORTS / tvN SPORTS","S47G03","창원 LG",1,"20260423",0,69,NA,"고양 소노","창원 LG 세이커스",63,"1900","208","sono","목","lg","66",1,10050599,11,"50","T21,T36","2108",47,"Changwon Gymnasium","플레이오프","S47G03N11","창원체육관","고양 소노 스카이거너스",1,NA,"2025-2026","창원체육관","03","PO","X","S47G03N11"
"IB SPORTS / tvN SPORTS","S47G03","안양 정관장",1,"20260424",0,91,NA,"부산 KCC","안양 정관장 레드부스터스",75,"1900","159","kcc","금","kgc","60",1,10050608,12,"70","T21,T36","2059",47,"Anyang Gymnasium","플레이오프","S47G03N12","안양 정관장 아레나","부산 KCC 이지스",1,NA,"2025-2026","안양 정관장 아레나","03","PO","X","S47G03N12"
"IB SPORTS / tvN SPORTS","S47G03","창원 LG",1,"20260425",0,85,NA,"고양 소노","창원 LG 세이커스",76,"1400","205","sono","토","lg","66",1,10050622,13,"50","T21,T36","1605",47,"Changwon Gymnasium","플레이오프","S47G03N13","창원체육관","고양 소노 스카이거너스",1,NA,"2025-2026","창원체육관","03","PO","X","S47G03N13"
"IB SPORTS / tvN SPORTS","S47G03","안양 정관장",1,"20260426",0,83,NA,"부산 KCC","안양 정관장 레드부스터스",91,"1400","204","kcc","일","kgc","60",1,10050641,14,"70","T21,T36","1604",47,"Anyang Gymnasium","플레이오프","S47G03N14","안양 정관장 아레나","부산 KCC 이지스",1,NA,"2025-2026","안양 정관장 아레나","03","PO","X","S47G03N14"
