"tv","glkey","tnameH","seasonGrade","gameDate","bookmarkFlag","scoreA","challengeSq","tnameA","tnameFH","scoreH","gameStart","gameTime","logoA","weekDay","logoH","tcodeA","isEnded","artcSq","gameNo","tcodeH","tvCode","gameEnd","seasonCode","stadiumnameEn","seasonCategoryName","gmkey","stadiumname","tnameFA","isStarted","replayUrl","seasonName1","stadiumnameF","gameCode","seasonCategory","playingQuarter","game_id"
"tvN SPORTS","S47G01","창원 LG",1,"20251003",0,89,271,"서울 SK","창원 LG 세이커스",81,"1400","214","sk","금","lg","55",1,10046500,1,"50","T36","1614",47,"Changwon Gymnasium","정규시즌","S47G01N1","창원체육관","서울 SK 나이츠",1,NA,"2025-2026","창원체육관","01","R","X","S47G01N1"
"IB SPORTS","S47G01","서울 삼성",1,"20251003",0,89,272,"부산 KCC","서울 삼성 썬더스",82,"1400","202","kcc","금","ss","60",1,10046501,2,"35","T21","1602",47,"Seoul Jamsil Gymnasium","정규시즌","S47G01N2","잠실실내","부산 KCC 이지스",1,NA,"2025-2026","잠실실내체육관","01","R","X","S47G01N2"
"tvN SPORTS","S47G01","울산 현대모비스",1,"20251003",0,71,273,"원주 DB","울산 현대모비스 피버스",68,"1630","156","db","금","hd","16",1,10046502,3,"10","T36","1826",47,"Dongcheon Gymnasium","정규시즌","S47G01N3","울산동천","원주 DB 프로미",1,NA,"2025-2026","울산동천체육관","01","R","X","S47G01N3"
"tvN SPORTS","S47G01","수원 KT",1,"20251004",0,67,274,"부산 KCC","수원 KT 소닉붐",85,"1400","208","kcc","토","kt","60",1,10046543,4,"06","T36","1608",47,"Suwon KT Sonicboom Arena","정규시즌","S47G01N4","수원 KT 소닉붐 아레나","부산 KCC 이지스",1,NA,"2025-2026","수원 KT 소닉붐 아레나","01","R","X","S47G01N4"
"IB SPORTS","S47G01","대구 한국가스공사",1,"20251004",0,98,275,"서울 삼성","대구 한국가스공사 페가수스",76,"1400","201","ss","토","pega","35",1,10046544,5,"64","T21","1601",47,"Daegue Gymnasium","정규시즌","S47G01N5","대구","서울 삼성 썬더스",1,NA,"2025-2026","대구체육관","01","R","X","S47G01N5"
"tvN SPORTS","S47G01","안양 정관장",1,"20251004",0,50,276,"고양 소노","안양 정관장 레드부스터스",69,"1630","158","sono","토","kgc","66",1,10046545,6,"70","T36","1828",47,"Anyang Gymnasium","정규시즌","S47G01N6","안양 정관장 아레나","고양 소노 스카이거너스",1,NA,"2025-2026","안양 정관장 아레나","01","R","X","S47G01N6"
"tvN SPORTS","S47G01","서울 SK",1,"20251005",0,64,277,"수원 KT","서울 SK 나이츠",104,"1400","147","kt","일","sk","06",1,10046576,7,"55","T36","1547",47,"Jamsil Student Gymnasium","정규시즌","S47G01N7","잠실학생","수원 KT 소닉붐",1,NA,"2025-2026","잠실학생체육관","01","R","X","S47G01N7"
NA,"S47G01","원주 DB",1,"20251005",0,82,278,"창원 LG","원주 DB 프로미",79,"1400","209","lg","일","db","50",1,10046577,8,"16",NA,"1609",47,"Wonju Gymnasium","정규시즌","S47G01N8","원주DB프로미아레나","창원 LG 세이커스",1,NA,"2025-2026","원주DB프로미아레나","01","R","X","S47G01N8"
"tvN SPORTS","S47G01","고양 소노",1,"20251005",0,80,279,"울산 현대모비스","고양 소노 스카이거너스",72,"1630","155","hd","일","sono","10",1,10046582,9,"66","T36","1825",47,"GOYANG SONO ARENA","정규시즌","S47G01N9","고양소노아레나","울산 현대모비스 피버스",1,NA,"2025-2026","고양소노아레나","01","R","X","S47G01N9"
"IB SPORTS","S47G01","안양 정관장",1,"20251006",0,66,280,"대구 한국가스공사","안양 정관장 레드부스터스",83,"1400","159","pega","월","kgc","64",1,10046619,10,"70","T21","1559",47,"Anyang Gymnasium","정규시즌","S47G01N10","안양 정관장 아레나","대구 한국가스공사 페가수스",1,NA,"2025-2026","안양 정관장 아레나","01","R","X","S47G01N10"
"tvN SPORTS","S47G01","수원 KT",1,"20251007",0,73,281,"울산 현대모비스","수원 KT 소닉붐",74,"1400","221","hd","화","kt","10",1,10046637,11,"06","T36","1621",47,"Suwon KT Sonicboom Arena","정규시즌","S47G01N11","수원 KT 소닉붐 아레나","울산 현대모비스 피버스",1,NA,"2025-2026","수원 KT 소닉붐 아레나","01","R","X","S47G01N11"
