"tv","glkey","tnameH","seasonGrade","gameDate","bookmarkFlag","scoreA","challengeSq","tnameA","tnameFH","scoreH","gameStart","gameTime","logoA","weekDay","logoH","tcodeA","isEnded","artcSq","gameNo","tcodeH","tvCode","gameEnd","seasonCode","stadiumnameEn","seasonCategoryName","gmkey","stadiumname","tnameFA","isStarted","replayUrl","seasonName1","stadiumnameF","gameCode","seasonCategory","playingQuarter","game_id"
"SPOTV G&H / SPOTV PRIME","S43G03","서울 SK",1,"20240404",0,81,NA,"부산 KCC","서울 SK 나이츠",63,"1900","143","kcc","목","sk","60",1,10037085,1,"55","T23,T33","2043",43,"Jamsil Student Gymnasium","플레이오프","S43G03N1","잠실학생","부산 KCC 이지스",1,"https://vod.afreecatv.com/player/120979215","2023-2024","잠실학생체육관","03","PO","X","S43G03N1"
"SPOTV G&H / SPOTV PRIME","S43G03","수원 KT",1,"20240405",0,90,NA,"울산 현대모비스","수원 KT 소닉붐",93,"1900","205","hd","금","kt","10",1,10037113,2,"06","T23,T33","2105",43,"Suwon KT Sonicboom Arena","플레이오프","S43G03N2","수원 KT 아레나","울산 현대모비스 피버스",1,"https://vod.afreecatv.com/player/121074961","2023-2024","수원 KT 아레나","03","PO","X","S43G03N2"
"SPOTV / SPOTV PRIME","S43G03","서울 SK",1,"20240406",0,99,NA,"부산 KCC","서울 SK 나이츠",72,"1400","149","kcc","토","sk","60",1,10037129,3,"55","T18,T33","1549",43,"Jamsil Student Gymnasium","플레이오프","S43G03N3","잠실학생","부산 KCC 이지스",1,"https://vod.afreecatv.com/player/121148089","2023-2024","잠실학생체육관","03","PO","X","S43G03N3"
"SPOTV / SPOTV PRIME","S43G03","수원 KT",1,"20240407",0,79,NA,"울산 현대모비스","수원 KT 소닉붐",77,"1800","219","hd","일","kt","10",1,10037144,4,"06","T18,T33","2019",43,"Suwon KT Sonicboom Arena","플레이오프","S43G03N4","수원 KT 아레나","울산 현대모비스 피버스",1,"https://vod.afreecatv.com/player/121262823","2023-2024","수원 KT 아레나","03","PO","X","S43G03N4"
"SPOTV / SPOTV PRIME","S43G03","부산 KCC",1,"20240408",0,77,NA,"서울 SK","부산 KCC 이지스",97,"1900","142","sk","월","kcc","55",1,10037187,5,"60","T18,T33","2042",43,"BUSAN SAJIK GYMNASIUM","플레이오프","S43G03N5","부산사직","서울 SK 나이츠",1,"https://vod.afreecatv.com/player/121352103","2023-2024","부산사직체육관","03","PO","X","S43G03N5"
"SPOTV G&H / SPOTV PRIME","S43G03","울산 현대모비스",1,"20240409",0,79,NA,"수원 KT","울산 현대모비스 피버스",62,"1900","202","kt","화","hd","06",1,10037211,6,"10","T23,T33","2102",43,"Dongcheon Gymnasium","플레이오프","S43G03N6","울산동천","수원 KT 소닉붐",1,"https://vod.afreecatv.com/player/121445385","2023-2024","울산동천체육관","03","PO","X","S43G03N6"
"SPOTV G&H / SPOTV PRIME","S43G03","울산 현대모비스",1,"20240411",0,93,NA,"수원 KT","울산 현대모비스 피버스",80,"1901","157","kt","목","hd","06",1,10037229,8,"10","T23,T33","2058",43,"Dongcheon Gymnasium","플레이오프","S43G03N8","울산동천","수원 KT 소닉붐",1,"https://vod.afreecatv.com/player/121636037","2023-2024","울산동천체육관","03","PO","X","S43G03N8"
"SPOTV / SPOTV PRIME","S43G03","원주 DB",1,"20240415",0,95,NA,"부산 KCC","원주 DB 프로미",83,"1900","147","kcc","월","db","60",1,10037270,11,"16","T18,T33","2047",43,"Wonju Gymnasium","플레이오프","S43G03N11","원주종합","부산 KCC 이지스",1,"https://vod.afreecatv.com/player/122016215","2023-2024","원주종합체육관","03","PO","X","S43G03N11"
"SPOTV G&H / SPOTV PRIME","S43G03","창원 LG",1,"20240416",0,70,NA,"수원 KT","창원 LG 세이커스",78,"1900","203","kt","화","lg","06",1,10037291,12,"50","T23,T33","2103",43,"Changwon Gymnasium","플레이오프","S43G03N12","창원체육관","수원 KT 소닉붐",1,"https://vod.afreecatv.com/player/122107935","2023-2024","창원체육관","03","PO","X","S43G03N12"
"SPOTV G&H / SPOTV PRIME","S43G03","원주 DB",1,"20240417",0,71,NA,"부산 KCC","원주 DB 프로미",80,"1900","148","kcc","수","db","60",1,10037308,13,"16","T23,T33","2048",43,"Wonju Gymnasium","플레이오프","S43G03N13","원주종합","부산 KCC 이지스",1,"https://vod.afreecatv.com/player/122200423","2023-2024","원주종합체육관","03","PO","X","S43G03N13"
"SPOTV G&H / SPOTV PRIME","S43G03","창원 LG",1,"20240418",0,83,NA,"수원 KT","창원 LG 세이커스",63,"1900","151","kt","목","lg","06",1,10037339,14,"50","T23,T33","2051",43,"Changwon Gymnasium","플레이오프","S43G03N14","창원체육관","수원 KT 소닉붐",1,"https://vod.afreecatv.com/player/122296897","2023-2024","창원체육관","03","PO","X","S43G03N14"
"SPOTV G&H / SPOTV PRIME","S43G03","부산 KCC",1,"20240419",0,90,NA,"원주 DB","부산 KCC 이지스",102,"1900","203","db","금","kcc","16",1,10037355,15,"60","T23,T33","2103",43,"BUSAN SAJIK GYMNASIUM","플레이오프","S43G03N15","부산사직","원주 DB 프로미",1,"https://vod.afreecatv.com/player/122392001","2023-2024","부산사직체육관","03","PO","X","S43G03N15"
"SPOTV / SPOTV PRIME","S43G03","수원 KT",1,"20240420",0,76,NA,"창원 LG","수원 KT 소닉붐",73,"1400","204","lg","토","kt","50",1,10037369,16,"06","T18,T33","1604",43,"Suwon KT Sonicboom Arena","플레이오프","S43G03N16","수원 KT 아레나","창원 LG 세이커스",1,"https://vod.afreecatv.com/player/122463189","2023-2024","수원 KT 아레나","03","PO","X","S43G03N16"
"SPOTV G&H / SPOTV PRIME","S43G03","부산 KCC",1,"20240421",0,63,NA,"원주 DB","부산 KCC 이지스",80,"1800","156","db","일","kcc","16",1,10037384,17,"60","T23,T33","1956",43,"BUSAN SAJIK GYMNASIUM","플레이오프","S43G03N17","부산사직","원주 DB 프로미",1,"https://vod.afreecatv.com/player/122573391","2023-2024","부산사직체육관","03","PO","X","S43G03N17"
"SPOTV / SPOTV PRIME","S43G03","수원 KT",1,"20240422",0,80,NA,"창원 LG","수원 KT 소닉붐",89,"1900","158","lg","월","kt","50",1,10037414,18,"06","T18,T33","2058",43,"Suwon KT Sonicboom Arena","플레이오프","S43G03N18","수원 KT 아레나","창원 LG 세이커스",1,"https://vod.afreecatv.com/player/122667377","2023-2024","수원 KT 아레나","03","PO","X","S43G03N18"
"SPOTV G&H / SPOTV PRIME","S43G03","창원 LG",1,"20240424",0,75,NA,"수원 KT","창원 LG 세이커스",65,"1900","200","kt","수","lg","06",1,10037436,20,"50","T23,T33","2100",43,"Changwon Gymnasium","플레이오프","S43G03N20","창원체육관","수원 KT 소닉붐",1,"https://vod.afreecatv.com/player/122845151","2023-2024","창원체육관","03","PO","X","S43G03N20"
"SPOTV / SPOTV PRIME","S43G04","수원 KT",1,"20240427",0,90,NA,"부산 KCC","수원 KT 소닉붐",73,"1400","147","kcc","토","kt","60",1,10037467,1,"06","T18,T33","1547",43,"Suwon KT Sonicboom Arena","챔피언결정전","S43G04N1","수원 KT 아레나","부산 KCC 이지스",1,"https://vod.afreecatv.com/player/123091953","2023-2024","수원 KT 아레나","04","CP","X","S43G04N1"
"SPOTV / SPOTV PRIME","S43G04","수원 KT",1,"20240429",0,97,NA,"부산 KCC","수원 KT 소닉붐",101,"1900","158","kcc","월","kt","60",1,10037493,2,"06","T18,T33","2058",43,"Suwon KT Sonicboom Arena","챔피언결정전","S43G04N2","수원 KT 아레나","부산 KCC 이지스",1,"https://vod.afreecatv.com/player/123296079","2023-2024","수원 KT 아레나","04","CP","X","S43G04N2"
"SPOTV G&H / SPOTV PRIME","S43G04","부산 KCC",1,"20240501",0,89,NA,"수원 KT","부산 KCC 이지스",92,"1900","152","kt","수","kcc","06",1,10037514,3,"60","T23,T33","2052",43,"BUSAN SAJIK GYMNASIUM","챔피언결정전","S43G04N3","부산사직","수원 KT 소닉붐",1,"https://vod.afreecatv.com/player/123491163","2023-2024","부산사직체육관","04","CP","X","S43G04N3"
"SPOTV / SPOTV PRIME","S43G04","부산 KCC",1,"20240503",0,90,NA,"수원 KT","부산 KCC 이지스",96,"1900","145","kt","금","kcc","06",1,10037539,4,"60","T18,T33","2045",43,"BUSAN SAJIK GYMNASIUM","챔피언결정전","S43G04N4","부산사직","수원 KT 소닉붐",1,"https://vod.afreecatv.com/player/123687391","2023-2024","부산사직체육관","04","CP","X","S43G04N4"
"SPOTV / SPOTV PRIME","S43G04","수원 KT",1,"20240505",0,88,NA,"부산 KCC","수원 KT 소닉붐",70,"1800","137","kcc","일","kt","60",1,10037556,5,"06","T18,T33","1937",43,"Suwon KT Sonicboom Arena","챔피언결정전","S43G04N5","수원 KT 아레나","부산 KCC 이지스",1,"https://vod.afreecatv.com/player/123879311","2023-2024","수원 KT 아레나","04","CP","X","S43G04N5"
