"tv","glkey","tnameH","seasonGrade","gameDate","bookmarkFlag","scoreA","challengeSq","tnameA","tnameFH","scoreH","gameStart","gameTime","logoA","weekDay","logoH","tcodeA","isEnded","artcSq","gameNo","tcodeH","tvCode","gameEnd","seasonCode","stadiumnameEn","seasonCategoryName","gmkey","stadiumname","tnameFA","isStarted","replayUrl","seasonName1","stadiumnameF","gameCode","seasonCategory","playingQuarter","game_id"
"tvN SPORTS","S45G01","고양 소노",1,"20250302",0,88,202,"대구 한국가스공사","고양 소노 스카이거너스",79,"1600","153","pega","일","sono","64",1,10043974,202,"66","T36","1753",45,"GOYANG SONO ARENA","정규시즌","S45G01N202","고양 소노 아레나","대구 한국가스공사 페가수스",1,NA,"2024-2025","고양 소노 아레나","01","R","X","S45G01N202"
"tvN SPORTS","S45G01","원주 DB",1,"20250303",0,63,203,"창원 LG","원주 DB 프로미",67,"1400","157","lg","월","db","50",1,10044016,203,"16","T36","1557",45,"Wonju Gymnasium","정규시즌","S45G01N203","원주종합","창원 LG 세이커스",1,NA,"2024-2025","원주종합체육관","01","R","X","S45G01N203"
"IB SPORTS","S45G01","서울 삼성",1,"20250303",0,89,204,"안양 정관장","서울 삼성 썬더스",76,"1600","150","kgc","월","ss","70",1,10044018,204,"35","T21","1750",45,"Seoul Jamsil Gymnasium","정규시즌","S45G01N204","잠실실내","안양 정관장 레드부스터스",1,NA,"2024-2025","잠실실내체육관","01","R","X","S45G01N204"
"tvN SPORTS","S45G01","수원 KT",1,"20250304",0,74,205,"대구 한국가스공사","수원 KT 소닉붐",75,"1900","156","pega","화","kt","64",1,10044060,205,"06","T36","2056",45,"Suwon KT Sonicboom Arena","정규시즌","S45G01N205","수원 KT 아레나","대구 한국가스공사 페가수스",1,NA,"2024-2025","수원 KT 아레나","01","R","X","S45G01N205"
"IB SPORTS","S45G01","서울 삼성",1,"20250305",0,75,206,"서울 SK","서울 삼성 썬더스",66,"1900","145","sk","수","ss","55",1,10044090,206,"35","T21","2045",45,"Seoul Jamsil Gymnasium","정규시즌","S45G01N206","잠실실내","서울 SK 나이츠",1,NA,"2024-2025","잠실실내체육관","01","R","X","S45G01N206"
"tvN SPORTS","S45G01","울산 현대모비스",1,"20250306",0,84,207,"원주 DB","울산 현대모비스 피버스",93,"1900","153","db","목","hd","16",1,10044108,207,"10","T36","2053",45,"Dongcheon Gymnasium","정규시즌","S45G01N207","울산동천","원주 DB 프로미",1,NA,"2024-2025","울산동천체육관","01","R","X","S45G01N207"
"tvN SPORTS","S45G01","대구 한국가스공사",1,"20250307",0,79,208,"창원 LG","대구 한국가스공사 페가수스",72,"1900","157","lg","금","pega","50",1,10044125,208,"64","T36","2057",45,"Daegue Gymnasium","정규시즌","S45G01N208","대구","창원 LG 세이커스",1,NA,"2024-2025","대구체육관","01","R","X","S45G01N208"
"IB SPORTS","S45G01","고양 소노",1,"20250307",0,71,209,"서울 SK","고양 소노 스카이거너스",56,"1900","144","sk","금","sono","55",1,10044126,209,"66","T21","2044",45,"GOYANG SONO ARENA","정규시즌","S45G01N209","고양 소노 아레나","서울 SK 나이츠",1,NA,"2024-2025","고양 소노 아레나","01","R","X","S45G01N209"
"IB SPORTS","S45G01","원주 DB",1,"20250308",0,83,210,"서울 삼성","원주 DB 프로미",75,"1400","207","ss","토","db","35",1,10044154,210,"16","T21","1607",45,"Wonju Gymnasium","정규시즌","S45G01N210","원주종합","서울 삼성 썬더스",1,NA,"2024-2025","원주종합체육관","01","R","X","S45G01N210"
"tvN SPORTS","S45G01","안양 정관장",1,"20250308",0,81,211,"울산 현대모비스","안양 정관장 레드부스터스",74,"1600","202","hd","토","kgc","10",1,10044161,211,"70","T36","1802",45,"Anyang Gymnasium","정규시즌","S45G01N211","안양 정관장 아레나","울산 현대모비스 피버스",1,NA,"2024-2025","안양 정관장 아레나","01","R","X","S45G01N211"
"IB SPORTS","S45G01","서울 SK",1,"20250309",0,69,212,"대구 한국가스공사","서울 SK 나이츠",89,"1400","142","pega","일","sk","64",1,10044196,212,"55","T21","1542",45,"Jamsil Student Gymnasium","정규시즌","S45G01N212","잠실학생","대구 한국가스공사 페가수스",1,NA,"2024-2025","잠실학생체육관","01","R","X","S45G01N212"
"tvN SPORTS","S45G01","창원 LG",1,"20250309",0,79,213,"고양 소노","창원 LG 세이커스",91,"1600","156","sono","일","lg","66",1,10044197,213,"50","T36","1756",45,"Changwon Gymnasium","정규시즌","S45G01N213","창원체육관","고양 소노 스카이거너스",1,NA,"2024-2025","창원체육관","01","R","X","S45G01N213"
"tvN SPORTS","S45G01","안양 정관장",1,"20250310",0,69,214,"원주 DB","안양 정관장 레드부스터스",77,"1900","150","db","월","kgc","16",1,10044231,214,"70","T36","2050",45,"Anyang Gymnasium","정규시즌","S45G01N214","안양 정관장 아레나","원주 DB 프로미",1,NA,"2024-2025","안양 정관장 아레나","01","R","X","S45G01N214"
"tvN SPORTS","S45G01","울산 현대모비스",1,"20250311",0,61,215,"서울 삼성","울산 현대모비스 피버스",63,"1900","151","ss","화","hd","35",1,10044249,215,"10","T36","2051",45,"Dongcheon Gymnasium","정규시즌","S45G01N215","울산동천","서울 삼성 썬더스",1,NA,"2024-2025","울산동천체육관","01","R","X","S45G01N215"
"IB SPORTS","S45G01","대구 한국가스공사",1,"20250312",0,76,216,"안양 정관장","대구 한국가스공사 페가수스",88,"1900","209","kgc","수","pega","70",1,10044260,216,"64","T21","2109",45,"Daegue Gymnasium","정규시즌","S45G01N216","대구","안양 정관장 레드부스터스",1,NA,"2024-2025","대구체육관","01","R","X","S45G01N216"
"tvN SPORTS","S45G01","부산 KCC",1,"20250313",0,83,217,"서울 삼성","부산 KCC 이지스",77,"1900","153","ss","목","kcc","35",1,10044281,217,"60","T36","2053",45,"Busan Sajik Gymnasium","정규시즌","S45G01N217","부산사직","서울 삼성 썬더스",1,NA,"2024-2025","부산사직체육관","01","R","X","S45G01N217"
"IB SPORTS","S45G01","수원 KT",1,"20250313",0,63,218,"고양 소노","수원 KT 소닉붐",69,"1900","155","sono","목","kt","66",1,10044282,218,"06","T21","2055",45,"Suwon KT Sonicboom Arena","정규시즌","S45G01N218","수원 KT 아레나","고양 소노 스카이거너스",1,NA,"2024-2025","수원 KT 아레나","01","R","X","S45G01N218"
"IB SPORTS","S45G01","창원 LG",1,"20250314",0,81,219,"울산 현대모비스","창원 LG 세이커스",84,"1900","221","hd","금","lg","10",1,10044306,219,"50","T21","2121",45,"Changwon Gymnasium","정규시즌","S45G01N219","창원체육관","울산 현대모비스 피버스",1,NA,"2024-2025","창원체육관","01","R","X","S45G01N219"
"tvN SPORTS","S45G01","서울 SK",1,"20250314",0,88,220,"원주 DB","서울 SK 나이츠",80,"1900","149","db","금","sk","16",1,10044307,220,"55","T36","2049",45,"Jamsil Student Gymnasium","정규시즌","S45G01N220","잠실학생","원주 DB 프로미",1,NA,"2024-2025","잠실학생체육관","01","R","X","S45G01N220"
"tvN SPORTS","S45G01","대구 한국가스공사",1,"20250315",0,57,221,"부산 KCC","대구 한국가스공사 페가수스",70,"1400","148","kcc","토","pega","60",1,10044354,221,"64","T36","1548",45,"Daegue Gymnasium","정규시즌","S45G01N221","대구","부산 KCC 이지스",1,NA,"2024-2025","대구체육관","01","R","X","S45G01N221"
"IB SPORTS","S45G01","서울 삼성",1,"20250315",0,73,222,"수원 KT","서울 삼성 썬더스",83,"1400","152","kt","토","ss","06",1,10044355,222,"35","T21","1552",45,"Seoul Jamsil Gymnasium","정규시즌","S45G01N222","잠실실내","수원 KT 소닉붐",1,NA,"2024-2025","잠실실내체육관","01","R","X","S45G01N222"
"tvN SPORTS","S45G01","고양 소노",1,"20250315",0,86,223,"안양 정관장","고양 소노 스카이거너스",84,"1600","151","kgc","토","sono","70",1,10044358,223,"66","T36","1751",45,"GOYANG SONO ARENA","정규시즌","S45G01N223","고양 소노 아레나","안양 정관장 레드부스터스",1,NA,"2024-2025","고양 소노 아레나","01","R","X","S45G01N223"
"IB SPORTS","S45G01","수원 KT",1,"20250316",0,62,224,"창원 LG","수원 KT 소닉붐",90,"1400","153","lg","일","kt","50",1,10044395,224,"06","T21","1553",45,"Suwon KT Sonicboom Arena","정규시즌","S45G01N224","수원 KT 아레나","창원 LG 세이커스",1,NA,"2024-2025","수원 KT 아레나","01","R","X","S45G01N224"
"tvN SPORTS","S45G01","울산 현대모비스",1,"20250316",0,102,225,"부산 KCC","울산 현대모비스 피버스",76,"1400","151","kcc","일","hd","60",1,10044396,225,"10","T36","1551",45,"Dongcheon Gymnasium","정규시즌","S45G01N225","울산동천","부산 KCC 이지스",1,NA,"2024-2025","울산동천체육관","01","R","X","S45G01N225"
"tvN SPORTS","S45G01","원주 DB",1,"20250316",0,75,226,"서울 SK","원주 DB 프로미",63,"1600","152","sk","일","db","55",1,10044400,226,"16","T36","1752",45,"Wonju Gymnasium","정규시즌","S45G01N226","원주종합","서울 SK 나이츠",1,NA,"2024-2025","원주종합체육관","01","R","X","S45G01N226"
"tvN SPORTS","S45G01","대구 한국가스공사",1,"20250317",0,73,227,"안양 정관장","대구 한국가스공사 페가수스",68,"1900","209","kgc","월","pega","70",1,10044456,227,"64","T36","2109",45,"Daegue Gymnasium","정규시즌","S45G01N227","대구","안양 정관장 레드부스터스",1,NA,"2024-2025","대구체육관","01","R","X","S45G01N227"
"tvN SPORTS","S45G01","울산 현대모비스",1,"20250318",0,77,228,"부산 KCC","울산 현대모비스 피버스",79,"1900","148","kcc","화","hd","60",1,10044484,228,"10","T36","2048",45,"Dongcheon Gymnasium","정규시즌","S45G01N228","울산동천","부산 KCC 이지스",1,NA,"2024-2025","울산동천체육관","01","R","X","S45G01N228"
"tvN SPORTS","S45G01","수원 KT",1,"20250319",0,78,229,"서울 SK","수원 KT 소닉붐",77,"1900","145","sk","수","kt","55",1,10044499,229,"06","T36","2045",45,"Suwon KT Sonicboom Arena","정규시즌","S45G01N229","수원 KT 아레나","서울 SK 나이츠",1,NA,"2024-2025","수원 KT 아레나","01","R","X","S45G01N229"
"IB SPORTS","S45G01","고양 소노",1,"20250320",0,85,230,"대구 한국가스공사","고양 소노 스카이거너스",90,"1900","158","pega","목","sono","64",1,10044523,230,"66","T21","2058",45,"GOYANG SONO ARENA","정규시즌","S45G01N230","고양 소노 아레나","대구 한국가스공사 페가수스",1,NA,"2024-2025","고양 소노 아레나","01","R","X","S45G01N230"
"tvN SPORTS","S45G01","창원 LG",1,"20250320",0,68,231,"원주 DB","창원 LG 세이커스",81,"1900","145","db","목","lg","16",1,10044524,231,"50","T36","2045",45,"Changwon Gymnasium","정규시즌","S45G01N231","창원체육관","원주 DB 프로미",1,NA,"2024-2025","창원체육관","01","R","X","S45G01N231"
"tvN SPORTS","S45G01","서울 SK",1,"20250321",0,79,232,"울산 현대모비스","서울 SK 나이츠",85,"1900","136","hd","금","sk","10",1,10044555,232,"55","T36","2036",45,"Jamsil Student Gymnasium","정규시즌","S45G01N232","잠실학생","울산 현대모비스 피버스",1,NA,"2024-2025","잠실학생체육관","01","R","X","S45G01N232"
"IB SPORTS","S45G01","안양 정관장",1,"20250321",0,70,233,"부산 KCC","안양 정관장 레드부스터스",91,"1900","135","kcc","금","kgc","60",1,10044556,233,"70","T21","2035",45,"Anyang Gymnasium","정규시즌","S45G01N233","안양 정관장 아레나","부산 KCC 이지스",1,NA,"2024-2025","안양 정관장 아레나","01","R","X","S45G01N233"
"IB SPORTS","S45G01","창원 LG",1,"20250322",0,69,234,"수원 KT","창원 LG 세이커스",65,"1400","159","kt","토","lg","06",1,10044594,234,"50","T21","1559",45,"Changwon Gymnasium","정규시즌","S45G01N234","창원체육관","수원 KT 소닉붐",1,NA,"2024-2025","창원체육관","01","R","X","S45G01N234"
"tvN SPORTS","S45G01","대구 한국가스공사",1,"20250322",0,79,235,"원주 DB","대구 한국가스공사 페가수스",74,"1400","205","db","토","pega","16",1,10044595,235,"64","T36","1605",45,"Daegue Gymnasium","정규시즌","S45G01N235","대구","원주 DB 프로미",1,NA,"2024-2025","대구체육관","01","R","X","S45G01N235"
"tvN SPORTS","S45G01","고양 소노",1,"20250322",0,59,236,"서울 삼성","고양 소노 스카이거너스",84,"1600","140","ss","토","sono","35",1,10044596,236,"66","T36","1740",45,"GOYANG SONO ARENA","정규시즌","S45G01N236","고양 소노 아레나","서울 삼성 썬더스",1,NA,"2024-2025","고양 소노 아레나","01","R","X","S45G01N236"
"tvN SPORTS","S45G01","서울 SK",1,"20250323",0,81,237,"부산 KCC","서울 SK 나이츠",71,"1400","134","kcc","일","sk","60",1,10044641,237,"55","T36","1534",45,"Jamsil Student Gymnasium","정규시즌","S45G01N237","잠실학생","부산 KCC 이지스",1,NA,"2024-2025","잠실학생체육관","01","R","X","S45G01N237"
"IB SPORTS","S45G01","안양 정관장",1,"20250323",0,84,238,"울산 현대모비스","안양 정관장 레드부스터스",87,"1400","159","hd","일","kgc","10",1,10044642,238,"70","T21","1559",45,"Anyang Gymnasium","정규시즌","S45G01N238","안양 정관장 아레나","울산 현대모비스 피버스",1,NA,"2024-2025","안양 정관장 아레나","01","R","X","S45G01N238"
"tvN SPORTS","S45G01","창원 LG",1,"20250323",0,81,239,"대구 한국가스공사","창원 LG 세이커스",85,"1600","205","pega","일","lg","64",1,10044643,239,"50","T36","1805",45,"Changwon Gymnasium","정규시즌","S45G01N239","창원체육관","대구 한국가스공사 페가수스",1,NA,"2024-2025","창원체육관","01","R","X","S45G01N239"
