"tv","glkey","tnameH","seasonGrade","gameDate","bookmarkFlag","scoreA","challengeSq","tnameA","tnameFH","scoreH","gameStart","gameTime","logoA","weekDay","logoH","tcodeA","isEnded","artcSq","gameNo","tcodeH","tvCode","gameEnd","seasonCode","stadiumnameEn","seasonCategoryName","gmkey","stadiumname","tnameFA","isStarted","replayUrl","seasonName1","stadiumnameF","gameCode","seasonCategory","playingQuarter","game_id"
"SPOTV","S43G01","안양 정관장",1,"20231021",0,89,NA,"서울 SK","안양 정관장 레드부스터스",74,"1400","141","sk","토","kgc","55",1,10031842,1,"70","T18","1541",43,"Anyang Gymnasium","정규시즌","S43G01N1","안양 정관장 아레나","서울 SK 나이츠",1,"https://vod.afreecatv.com/player/108590567","2023-2024","안양 정관장 아레나","01","R","X","S43G01N1"
"SPOTV2 / SPOTV ON","S43G01","창원 LG",1,"20231021",0,71,NA,"수원 KT","창원 LG 세이커스",66,"1400","151","kt","토","lg","06",1,10031843,2,"50","T24,T25","1551",43,"Changwon Gymnasium","정규시즌","S43G01N2","창원체육관","수원 KT 소닉붐",1,"https://vod.afreecatv.com/player/108590718","2023-2024","창원체육관","01","R","X","S43G01N2"
"SPOTV / SPOTV ON","S43G01","울산 현대모비스",1,"20231021",0,62,NA,"대구 한국가스공사","울산 현대모비스 피버스",87,"1600","152","pega","토","hd","64",1,10031844,3,"10","T18,T25","1752",43,"Dongcheon Gymnasium","정규시즌","S43G01N3","울산동천","대구 한국가스공사 페가수스",1,"https://vod.afreecatv.com/player/108594401","2023-2024","울산동천체육관","01","R","X","S43G01N3"
"SPOTV","S43G01","서울 SK",1,"20231022",0,80,NA,"수원 KT","서울 SK 나이츠",85,"1400","147","kt","일","sk","06",1,10031866,4,"55","T18","1547",43,"Jamsil Student Gymnasium","정규시즌","S43G01N4","잠실학생","수원 KT 소닉붐",1,"https://vod.afreecatv.com/player/108627983","2023-2024","잠실학생체육관","01","R","X","S43G01N4"
"SPOTV2 / SPOTV ON","S43G01","고양 소노",1,"20231022",0,110,NA,"원주 DB","고양 소노 스카이거너스",89,"1400","157","db","일","sono","16",1,10031867,5,"66","T24,T25","1557",43,"GOYANG SONO ARENA","정규시즌","S43G01N5","고양 소노 아레나","원주 DB 프로미",1,"https://vod.afreecatv.com/player/108628081","2023-2024","고양 소노 아레나","01","R","X","S43G01N5"
"SPOTV / SPOTV ON","S43G01","부산 KCC",1,"20231022",0,100,NA,"서울 삼성","부산 KCC 이지스",106,"1600","140","ss","일","kcc","35",1,10031869,6,"60","T18,T25","1740",43,"BUSAN SAJIK GYMNASIUM","정규시즌","S43G01N6","부산사직","서울 삼성 썬더스",1,"https://vod.afreecatv.com/player/108630897","2023-2024","부산사직체육관","01","R","X","S43G01N6"
"SPOTV / SPOTV ON","S43G01","울산 현대모비스",1,"20231023",0,74,NA,"창원 LG","울산 현대모비스 피버스",76,"1900","205","lg","월","hd","50",1,10031947,7,"10","T18,T25","2105",43,"Dongcheon Gymnasium","정규시즌","S43G01N7","울산동천","창원 LG 세이커스",1,"https://vod.afreecatv.com/player/108673769","2023-2024","울산동천체육관","01","R","X","S43G01N7"
"SPOTV / SPOTV ON","S43G01","고양 소노",1,"20231024",0,90,NA,"서울 SK","고양 소노 스카이거너스",79,"1900","152","sk","화","sono","55",1,10031969,8,"66","T18,T25","2052",43,"GOYANG SONO ARENA","정규시즌","S43G01N8","고양 소노 아레나","서울 SK 나이츠",1,"https://vod.afreecatv.com/player/108712955","2023-2024","고양 소노 아레나","01","R","X","S43G01N8"
"SPOTV / SPOTV ON","S43G01","창원 LG",1,"20231026",0,85,NA,"원주 DB","창원 LG 세이커스",76,"1900","153","db","목","lg","16",1,10032002,9,"50","T18,T25","2053",43,"Changwon Gymnasium","정규시즌","S43G01N9","창원체육관","원주 DB 프로미",1,"https://vod.afreecatv.com/player/108792895","2023-2024","창원체육관","01","R","X","S43G01N9"
"SPOTV2 / SPOTV ON","S43G01","울산 현대모비스",1,"20231027",0,67,NA,"서울 SK","울산 현대모비스 피버스",78,"1900","155","sk","금","hd","55",1,10032018,10,"10","T24,T25","2055",43,"Dongcheon Gymnasium","정규시즌","S43G01N10","울산동천","서울 SK 나이츠",1,"https://vod.afreecatv.com/player/108833486","2023-2024","울산동천체육관","01","R","X","S43G01N10"
